2019-1-25,Brás,-23.5451,-46.6162,71957,17,43,31,31,39,35,21,43,NORMAL,4705
2019-1-27,Brás,-23.5451,-46.6162,71306,86,30,13,23,31,30,16,33,NORMAL,4707
2019-2-9,Brás,-23.5451,-46.6162,70843,48,20,3,31,25,40,43,23,REABASTECER,4719
2019-2-11,Brás,-23.5451,-46.6162,70989,24,2,61,27,16,32,33,14,NORMAL,4721
2019-3-3,Brás,-23.5451,-46.6162,70916,77,65,28,40,21,43,38,23,NORMAL,4743
2019-3-13,Brás,-23.5451,-46.6162,74317,64,13,32,11,19,15,40,27,NORMAL,4753
2019-3-19,Brás,-23.5451,-46.6162,73267,3,42,59,38,36,37,14,10,NORMAL,4759
2019-3-24,Brás,-23.5451,-46.6162,73593,44,14,24,30,18,29,39,35,NORMAL,4764
2019-4-2,Brás,-23.5451,-46.6162,70685,45,31,27,10,30,7,12,8,NORMAL,4772
2019-4-3,Brás,-23.5451,-46.6162,72298,32,25,21,10,25,1,8,6,REABASTECER,4773
2019-4-11,Brás,-23.5451,-46.6162,71905,36,36,28,22,26,19,17,20,NORMAL,4781
2019-4-12,Brás,-23.5451,-46.6162,74483,23,33,18,18,21,14,15,14,NORMAL,4782
2019-5-4,Brás,-23.5451,-46.6162,71012,64,51,8,41,17,28,43,13,REABASTECER,4804
2019-5-15,Brás,-23.5451,-46.6162,72904,43,48,56,43,15,39,36,10,NORMAL,4815
2019-5-29,Brás,-23.5451,-46.6162,74121,86,33,35,40,4,36,26,32,NORMAL,4829
2019-6-1,Brás,-23.5451,-46.6162,72036,61,13,16,34,39,29,19,26,NORMAL,4831
2019-6-4,Brás,-23.5451,-46.6162,70624,33,57,61,22,30,20,8,17,NORMAL,4834
2019-6-9,Brás,-23.5451,-46.6162,71427,73,22,25,2,9,8,33,40,REABASTECER,4839
2019-6-17,Brás,-23.5451,-46.6162,74355,73,35,32,26,19,37,5,10,NORMAL,4847
2019-6-21,Brás,-23.5451,-46.6162,72270,33,8,3,12,43,24,31,39,REABASTECER,4851
2019-6-24,Brás,-23.5451,-46.6162,72497,2,54,52,9,32,16,16,31,REABASTECER,4854
2019-6-29,Brás,-23.5451,-46.6162,73221,45,26,15,31,10,43,41,6,NORMAL,4859
2019-6-30,Brás,-23.5451,-46.6162,73888,37,18,10,28,4,37,39,43,NORMAL,4860
2019-7-17,Brás,-23.5451,-46.6162,71524,41,45,20,19,23,23,10,21,NORMAL,4877
2019-7-22,Brás,-23.5451,-46.6162,72415,76,8,47,43,43,4,31,5,REABASTECER,4882
2019-7-29,Brás,-23.5451,-46.6162,71641,4,39,2,22,12,21,43,20,NORMAL,4889
2019-8-2,Brás,-23.5451,-46.6162,74166,69,16,53,17,43,19,29,9,NORMAL,4892
2019-8-5,Brás,-23.5451,-46.6162,72581,39,56,32,12,28,10,19,43,NORMAL,4895
2019-8-27,Brás,-23.5451,-46.6162,71875,86,51,65,34,22,15,20,43,NORMAL,4917
2019-8-28,Brás,-23.5451,-46.6162,72312,78,43,61,30,16,11,17,37,NORMAL,4918
2019-9-3,Brás,-23.5451,-46.6162,70684,30,16,24,16,41,41,43,17,NORMAL,4923
2019-10-18,Brás,-23.5451,-46.6162,74292,74,65,39,35,38,34,27,12,NORMAL,4968
2019-11-14,Brás,-23.5451,-46.6162,74141,86,19,58,10,19,39,18,33,NORMAL,4994
